dateStart,title,latitude,longitude,description
2019-12-04 00:42:00 UTC,ASSAULT,41.983654176,-87.769535187,SIMPLE
2019-12-04 07:44:00 UTC,ASSAULT,42.006919041,-87.690116435,SIMPLE
2019-12-04 07:45:00 UTC,ASSAULT,41.805440779,-87.60647736,SIMPLE
2019-12-04 08:10:00 UTC,ASSAULT,41.754268506,-87.644873166,SIMPLE
2019-12-04 09:00:00 UTC,ASSAULT,41.750486833,-87.654555379,SIMPLE
2019-12-04 09:03:00 UTC,ASSAULT,41.785633231,-87.694793431,SIMPLE
2019-12-04 10:00:00 UTC,ASSAULT,41.69930993,-87.609881792,SIMPLE
2019-12-04 10:15:00 UTC,ASSAULT,41.883211225,-87.629980412,SIMPLE
2019-12-04 10:25:00 UTC,ASSAULT,41.885014813,-87.696393832,PRO EMP HANDS NO/MIN INJURY
2019-12-04 10:47:00 UTC,ASSAULT,41.828762287,-87.614436164,SIMPLE
2019-12-04 10:50:00 UTC,ASSAULT,41.860582253,-87.732982704,SIMPLE
2019-12-04 10:56:00 UTC,ASSAULT,41.860582253,-87.732982704,SIMPLE
2019-12-04 11:00:00 UTC,ASSAULT,41.86559259,-87.676214817,SIMPLE
2019-12-04 11:13:00 UTC,ASSAULT,41.876607964,-87.627644063,SIMPLE
2019-12-04 11:30:00 UTC,ASSAULT,41.894043905,-87.746986388,SIMPLE
2019-12-04 11:45:00 UTC,ASSAULT,41.864217865,-87.702173146,PRO EMP HANDS NO/MIN INJURY
2019-12-04 12:01:00 UTC,ASSAULT,41.930537295,-87.639298656,SIMPLE
2019-12-04 12:13:00 UTC,ASSAULT,41.864984883,-87.726355331,SIMPLE
2019-12-04 12:30:00 UTC,ASSAULT,41.878017787,-87.761740038,SIMPLE
2019-12-04 12:44:00 UTC,ASSAULT,41.875794873,-87.751886238,SIMPLE
2019-12-04 13:00:00 UTC,ASSAULT,41.882437369,-87.686467698,SIMPLE
2019-12-04 13:00:00 UTC,ASSAULT,41.780722001,-87.649671925,SIMPLE
2019-12-04 13:15:00 UTC,ASSAULT,41.859896296,-87.737218043,SIMPLE
2019-12-04 13:29:00 UTC,ASSAULT,41.793521775,-87.641490211,SIMPLE
2019-12-04 14:00:00 UTC,ASSAULT,41.778754713,-87.617297398,SIMPLE
2019-12-04 15:41:00 UTC,ASSAULT,41.747965603,-87.662163891,AGG PO HANDS NO/MIN INJURY
2019-12-04 15:50:00 UTC,ASSAULT,41.698651418,-87.535281225,SIMPLE
2019-12-04 15:50:00 UTC,ASSAULT,41.765719051,-87.582436322,SIMPLE
2019-12-04 16:00:00 UTC,ASSAULT,41.841289747,-87.628142362,SIMPLE
2019-12-04 16:13:00 UTC,ASSAULT,41.808614751,-87.664091468,SIMPLE
2019-12-04 16:20:00 UTC,ASSAULT,41.701811034,-87.563984542,SIMPLE
2019-12-04 17:30:00 UTC,ASSAULT,41.948784981,-87.795001355,SIMPLE
2019-12-04 17:30:00 UTC,ASSAULT,41.742963833,-87.614701485,SIMPLE
2019-12-04 17:30:00 UTC,ASSAULT,41.818964454,-87.604295718,SIMPLE
2019-12-04 17:40:00 UTC,ASSAULT,42.017622284,-87.80900502,SIMPLE
2019-12-04 18:00:00 UTC,ASSAULT,41.750655089,-87.643182039,SIMPLE
2019-12-04 18:25:00 UTC,ASSAULT,41.761927505,-87.713751107,SIMPLE
