dateStart,event,latitude,longitude,description
2019-12-06 19:45:00 UTC,ASSAULT,41.75089655,-87.627813307,AGGRAVATED:KNIFE/CUTTING INSTR
2019-12-06 19:58:00 UTC,ASSAULT,41.88060406,-87.736089224,AGGRAVATED: HANDGUN
2019-12-06 20:17:00 UTC,ASSAULT,41.80957999,-87.602285668,AGGRAVATED: HANDGUN
2019-12-06 22:20:00 UTC,ASSAULT,41.781625079,-87.607215695,AGGRAVATED:KNIFE/CUTTING INSTR
2019-12-06 22:50:00 UTC,ASSAULT,41.870926154,-87.708943619,AGGRAVATED: OTHER DANG WEAPON
2019-12-07 00:05:00 UTC,ASSAULT,41.80462016,-87.684368169,AGGRAVATED:KNIFE/CUTTING INSTR
2019-12-07 00:52:00 UTC,ASSAULT,41.916994219,-87.756244795,AGGRAVATED: HANDGUN
2019-12-07 02:47:00 UTC,ASSAULT,41.786031386,-87.716943804,AGGRAVATED PO: OTHER DANG WEAP
2019-12-07 04:21:00 UTC,ASSAULT,41.723933234,-87.666333664,AGGRAVATED: HANDGUN
2019-12-07 09:15:00 UTC,ASSAULT,41.768056779,-87.568644414,AGGRAVATED: HANDGUN
2019-12-07 12:05:00 UTC,ASSAULT,41.881088655,-87.720764494,AGGRAVATED:KNIFE/CUTTING INSTR
2019-12-07 15:10:00 UTC,ASSAULT,41.833487313,-87.64617149,AGGRAVATED:KNIFE/CUTTING INSTR
2019-12-07 16:45:00 UTC,ASSAULT,41.671721454,-87.628480897,AGGRAVATED: HANDGUN
2019-12-07 21:47:00 UTC,ASSAULT,41.937688778,-87.642492215,AGGRAVATED: OTHER FIREARM
2019-12-07 21:56:00 UTC,ASSAULT,41.968167905,-87.734702055,AGGRAVATED: HANDGUN
2019-12-07 22:56:00 UTC,ASSAULT,41.862951657,-87.7064808,AGGRAVATED: HANDGUN
2019-12-08 01:15:00 UTC,ASSAULT,41.785195069,-87.618982074,AGGRAVATED: HANDGUN
2019-12-08 11:20:00 UTC,ASSAULT,41.775267487,-87.64710126,AGGRAVATED: HANDGUN
2019-12-08 16:15:00 UTC,ASSAULT,41.763640149,-87.689333766,AGGRAVATED:KNIFE/CUTTING INSTR
2019-12-08 18:30:00 UTC,ASSAULT,41.877561755,-87.685169265,AGGRAVATED: HANDGUN
2019-12-08 19:00:00 UTC,ASSAULT,41.747167184,-87.600220148,AGGRAVATED: HANDGUN
2019-12-08 19:45:00 UTC,ASSAULT,42.008078037,-87.68394905,AGGRAVATED: HANDGUN
2019-12-08 20:02:00 UTC,ASSAULT,41.762995347,-87.609155847,AGGRAVATED: HANDGUN
2019-12-08 20:31:00 UTC,ASSAULT,41.862944405,-87.707163698,AGGRAVATED: OTHER DANG WEAPON
2019-12-08 21:40:00 UTC,ASSAULT,41.898458275,-87.619318967,AGGRAVATED:KNIFE/CUTTING INSTR
2019-12-08 21:45:00 UTC,ASSAULT,41.779975054,-87.630937377,AGGRAVATED: HANDGUN
2019-12-08 21:58:00 UTC,ASSAULT,41.764551704,-87.623279803,AGGRAVATED: HANDGUN
2019-12-08 22:19:00 UTC,ASSAULT,41.846440182,-87.696141661,AGGRAVATED: HANDGUN
2019-12-08 23:00:00 UTC,ASSAULT,41.902860016,-87.728773832,AGGRAVATED: HANDGUN
2019-12-09 01:01:00 UTC,ASSAULT,41.687514249,-87.658044114,AGGRAVATED: HANDGUN
2019-12-09 01:57:00 UTC,ASSAULT,41.754581944,-87.576049926,AGGRAVATED:KNIFE/CUTTING INSTR
2019-12-09 02:19:00 UTC,ASSAULT,41.880487595,-87.745964635,AGGRAVATED: HANDGUN
2019-12-09 10:45:00 UTC,ASSAULT,41.841388915,-87.732989664,AGGRAVATED:KNIFE/CUTTING INSTR
2019-12-09 11:05:00 UTC,ASSAULT,41.898247169,-87.618028379,AGGRAVATED: HANDGUN
2019-12-09 13:11:00 UTC,ASSAULT,41.732138314,-87.63621053,AGGRAVATED:KNIFE/CUTTING INSTR
2019-12-09 14:39:00 UTC,ASSAULT,41.815329073,-87.642154319,AGGRAVATED:KNIFE/CUTTING INSTR
2019-12-09 15:15:00 UTC,ASSAULT,41.769622263,-87.688273178,AGGRAVATED: HANDGUN
2019-12-09 15:30:00 UTC,ASSAULT,41.764632089,-87.628311641,AGGRAVATED: OTHER DANG WEAPON
2019-12-09 16:00:00 UTC,ASSAULT,41.859825426,-87.720108473,AGGRAVATED: HANDGUN
2019-12-09 16:41:00 UTC,ASSAULT,41.747945371,-87.657308575,AGGRAVATED: HANDGUN
